timestamp,ul_delay,dl_delay,lost_packets,rsrp,transfer_protocol,ulrx_cell,cell_id
2021-05-19 16:15:07,0.00611156,0.00688117,2,-88.6175,1,423286,1
2021-05-19 16:15:08,0.00663359,0.0102422,0,-88.6555,1,409914,1
2021-05-19 16:15:09,0.00585739,0.00687915,2,-88.6986,1,424516,1
2021-05-19 16:15:10,0.00612326,0.00677893,0,-88.7466,1,409914,1
2021-05-19 16:15:11,0.00591397,0.00686667,2,-88.8258,1,423286,1
2021-05-19 16:15:12,0.00651092,0.00677893,0,-89.1166,1,411144,1
2021-05-19 16:15:13,0.00590709,0.00719612,1,-89.3992,1,423286,1
2021-05-19 16:15:14,0.00647295,0.00690845,0,-89.6739,1,408684,1
2021-05-19 16:15:15,0.00587121,0.00687915,1,-89.9412,1,425746,1
2021-05-19 16:15:16,0.00612326,0.00677893,0,-90.2016,1,409914,1
2021-05-19 16:15:17,0.00591225,0.00686667,2,-90.4552,1,423286,1
2021-05-19 16:15:18,0.00649916,0.0103343,0,-90.654,1,411144,1
2021-05-19 16:15:19,0.00594146,0.00687513,2,-90.7228,1,423286,1
2021-05-19 16:15:20,0.00655689,0.00677893,0,-90.797,1,409914,1
2021-05-19 16:15:21,0.00585739,0.00687915,2,-90.8762,1,424516,1
2021-05-19 16:15:22,0.00612326,0.00677893,0,-90.9602,1,409914,1
2021-05-19 16:15:23,0.00589163,0.00719814,1,-91.0488,1,423286,1
2021-05-19 16:15:24,0.0064021,0.00690845,0,-91.1416,1,411144,1
2021-05-19 16:15:25,0.00588819,0.00687714,2,-91.2384,1,423286,1
2021-05-19 16:15:26,0.00649199,0.00677893,0,-91.339,1,409914,1
2021-05-19 16:15:27,0.00587454,0.00686869,2,-91.4216,1,424516,1
2021-05-19 16:15:28,0.00607016,0.0206675999999999,0,-91.4941,1,409914,1
2021-05-19 16:15:29,0.0188238,0.00590009,188,-91.5709,1,286134,1
2021-05-19 16:15:30,0.00877214,0.00589094,0,-91.6519,1,411352,1
2021-05-19 16:15:31,0.0191644,0.00685214,177,-91.7368,1,295010,1
2021-05-19 16:15:32,0.0102133,0.00724343,42,-91.8253,1,356970,1
2021-05-19 16:15:33,0.0382278,0.00712835,312,-91.9173,1,184490,1
2021-05-19 16:15:34,0.0112247999999999,0.00719324,0,-92.0125,1,411198,1
2021-05-19 16:15:35,0.00678708,0.00684425,9,-92.1107,1,417332,1
2021-05-19 16:15:36,0.00592857,0.00660111,0,-92.2117,1,411144,1
2021-05-19 16:15:37,0.00899169,0.00590077,78,-92.3152,1,367642,1
